prices,data
76286.57710950871,2026-05-01
78172.07422147921,2026-05-02
78655.34555331903,2026-05-03
78562.55051754859,2026-05-04
79823.88555955577,2026-05-05
80925.09365495079,2026-05-06
81424.99515650333,2026-05-07
80022.04125006415,2026-05-08
80189.06503567853,2026-05-09
80678.03394296461,2026-05-10
82145.65606759128,2026-05-11
81725.20771701908,2026-05-12
80480.88600120835,2026-05-13
79277.8045183824,2026-05-14
81051.9828878728,2026-05-15
79068.82024044942,2026-05-16
78135.00994863857,2026-05-17
77425.71519168488,2026-05-18
76952.2148594993,2026-05-19
76808.8105527178,2026-05-20
77459.94434557436,2026-05-21
77546.33765297421,2026-05-22
75482.52379955728,2026-05-23
76672.79289056802,2026-05-24
76988.16126107218,2026-05-25
77274.40152182181,2026-05-26
75824.06332542913,2026-05-27
74352.69928002391,2026-05-28
73539.84189606174,2026-05-29
73382.71831425565,2026-05-30
73771.55863399465,2026-05-30
